Columna,Tipo de Dato
p_bathrooms_text_2 baths,int64
p_bathrooms_text_2 shared baths,int64
p_bathrooms_text_2.5 baths,int64
p_bathrooms_text_2.5 shared baths,int64
p_bathrooms_text_3 baths,int64
p_bathrooms_text_3 shared baths,int64
p_bathrooms_text_3.5 baths,int64
p_bathrooms_text_4.5 baths,int64
p_bathrooms_text_5 baths,int64
p_bathrooms_text_5.5 baths,int64
p_bathrooms_text_6 baths,int64
p_bathrooms_text_Half-bath,int64
p_host_response_time_a few days or more,int64
p_host_response_time_nan,int64
p_host_response_time_within a day,int64
p_host_response_time_within a few hours,int64
p_host_response_time_within an hour,int64
p_host_neighbourhood_Allston,int64
p_host_neighbourhood_Allston-Brighton,int64
p_host_neighbourhood_Back Bay,int64
p_host_neighbourhood_Back Bay West,int64
p_host_neighbourhood_Bay Village,int64
p_host_neighbourhood_Beacon Hill,int64
p_host_neighbourhood_Belmar,int64
p_host_neighbourhood_Blackstone Boulevard Realty Plat Historic District,int64
p_host_neighbourhood_Boston Theater District,int64
p_host_neighbourhood_Bowdoin North / Mount Bowdoin,int64
p_host_neighbourhood_Boylston Street,int64
p_host_neighbourhood_Brewster,int64
p_host_neighbourhood_Brighton,int64
p_host_neighbourhood_Brook Farm,int64
p_host_neighbourhood_Brookline,int64
p_host_neighbourhood_Bywater,int64
p_host_neighbourhood_Cambridge,int64
p_host_neighbourhood_Cambridgeport,int64
p_host_neighbourhood_Cedar Grove,int64
p_host_neighbourhood_Central City,int64
p_host_neighbourhood_Charlestown,int64
p_host_neighbourhood_Chinatown,int64
p_host_neighbourhood_City Point,int64
p_host_neighbourhood_Codman Square,int64
p_host_neighbourhood_Columbus Park / Andrew Square,int64
p_host_neighbourhood_Commonwealth,int64
p_host_neighbourhood_Coolidge Corner,int64
p_host_neighbourhood_D Street / West Broadway,int64
p_host_neighbourhood_Dennis Port,int64
p_host_neighbourhood_Dorchester,int64
p_host_neighbourhood_Dorchester Center,int64
p_host_neighbourhood_Downtown,int64
p_host_neighbourhood_Downtown Crossing,int64
p_host_neighbourhood_Dudley / Brunswick King,int64
p_host_neighbourhood_Eagle Hill,int64
p_host_neighbourhood_East Boston,int64
p_host_neighbourhood_East Falmouth,int64
p_host_neighbourhood_Fairmount Hill,int64
p_host_neighbourhood_Fenway/Kenmore,int64
p_host_neighbourhood_Fenway–Kenmore,int64
p_host_neighbourhood_Financial District,int64
p_host_neighbourhood_Forest Hills / Woodbourne,int64
p_host_neighbourhood_Franklin Field North,int64
p_host_neighbourhood_Franklin Field South,int64
p_host_neighbourhood_Gateway District,int64
p_host_neighbourhood_Government Center,int64
p_host_neighbourhood_Harbor View / Orient Heights,int64
p_host_neighbourhood_Harvard Square,int64
p_host_neighbourhood_Hawthorne,int64
p_host_neighbourhood_Hell's Kitchen,int64
p_host_neighbourhood_Hyde Park,int64
p_host_neighbourhood_Islington,int64
p_host_neighbourhood_Jamaica Plain,int64
p_host_neighbourhood_Jeffries Point,int64
p_host_neighbourhood_Leather District,int64
p_host_neighbourhood_Longwood Medical and Academic Area,int64
p_host_neighbourhood_Lower Allston,int64
p_host_neighbourhood_Lower Washington / Mount Hope,int64
p_host_neighbourhood_Malden,int64
p_host_neighbourhood_Mattapan,int64
p_host_neighbourhood_Medford Street / The Neck,int64
p_host_neighbourhood_Metropolitan Hill / Beech Street,int64
p_host_neighbourhood_Mission Hill,int64
p_host_neighbourhood_Neighborhood Nine,int64
p_host_neighbourhood_Newport East,int64
p_host_neighbourhood_Newton,int64
p_host_neighbourhood_Newton Corner,int64
p_host_neighbourhood_Newton Highlands,int64
p_host_neighbourhood_Noe Valley,int64
p_host_neighbourhood_North End,int64
p_host_neighbourhood_Oak Square,int64
p_host_neighbourhood_Orient Heights,int64
p_host_neighbourhood_Paradise Valley Village,int64
p_host_neighbourhood_Peoplestown,int64
p_host_neighbourhood_Popponesset,int64
p_host_neighbourhood_Prudential / St. Botolph,int64
p_host_neighbourhood_Redwood City,int64
p_host_neighbourhood_Rockport,int64
p_host_neighbourhood_Roslindale,int64
p_host_neighbourhood_Roxbury,int64
p_host_neighbourhood_Seventh Ward,int64
p_host_neighbourhood_South Beach,int64
p_host_neighbourhood_South Boston,int64
p_host_neighbourhood_South End,int64
p_host_neighbourhood_South Sanford,int64
p_host_neighbourhood_Southern Mattapan,int64
p_host_neighbourhood_Spring Hill,int64
p_host_neighbourhood_St. Elizabeth's,int64
p_host_neighbourhood_Stony Brook / Cleary Square,int64
p_host_neighbourhood_Sun Bay South,int64
p_host_neighbourhood_Theater District,int64
p_host_neighbourhood_Upper East Side,int64
p_host_neighbourhood_Vineyard Haven,int64
p_host_neighbourhood_Waban,int64
p_host_neighbourhood_Wanskuck,int64
p_host_neighbourhood_Ward Two,int64
p_host_neighbourhood_Watertown,int64
p_host_neighbourhood_Wellington Hill,int64
p_host_neighbourhood_West End,int64
p_host_neighbourhood_West Fens,int64
p_host_neighbourhood_West Roxbury,int64
p_host_neighbourhood_West Yarmouth,int64
p_host_neighbourhood_White Rock East,int64
p_host_neighbourhood_nan,int64
